date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:07:51	13454/13454	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Jun%202015%2020:04:21%20GMT	https://d3k90kvix375hb.cloudfront.net/assets/features/features-languages-10b07dd48a826b3272a0215bc9554dc5.png	C:/Users/Suriyaa/Downloads/heroku/heroku/d3k90kvix375hb.cloudfront.net/assets/features/features-languages-10b07dd48a826b3272a0215bc9554dc5.png	(from https://www.heroku.com/features)
16:07:51	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2014%20Jun%202015%2014:07:44%20GMT	http://d3k90kvix375hb.cloudfront.net/assets/features/features-addons-2639c6236fc11837bf9f88deadae7f1e.png	C:/Users/Suriyaa/Downloads/heroku/heroku/d3k90kvix375hb.cloudfront.net/assets/features/features-addons-2639c6236fc11837bf9f88deadae7f1e.png	(from https://www.heroku.com/features)
16:07:51	752/752	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Jun%202015%2020:04:21%20GMT	https://d3k90kvix375hb.cloudfront.net/assets/features/features-addons-2639c6236fc11837bf9f88deadae7f1e.png	C:/Users/Suriyaa/Downloads/heroku/heroku/d3k90kvix375hb.cloudfront.net/assets/features/features-addons-2639c6236fc11837bf9f88deadae7f1e.png	(from https://www.heroku.com/features)
16:07:51	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2014%20Jun%202015%2014:07:45%20GMT	http://d3k90kvix375hb.cloudfront.net/assets/features/features-buildpacks-244b3304e47f084437850412fbe8b984.png	C:/Users/Suriyaa/Downloads/heroku/heroku/d3k90kvix375hb.cloudfront.net/assets/features/features-buildpacks-244b3304e47f084437850412fbe8b984.png	(from https://www.heroku.com/features)
16:07:52	737/737	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Jun%202015%2020:04:21%20GMT	https://d3k90kvix375hb.cloudfront.net/assets/features/features-buildpacks-244b3304e47f084437850412fbe8b984.png	C:/Users/Suriyaa/Downloads/heroku/heroku/d3k90kvix375hb.cloudfront.net/assets/features/features-buildpacks-244b3304e47f084437850412fbe8b984.png	(from https://www.heroku.com/features)
16:07:52	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2014%20Jun%202015%2014:07:45%20GMT	http://d3k90kvix375hb.cloudfront.net/assets/features/features-buttons-dfa7b1b83e6ae4cd4bf9b183dd57128f.png	C:/Users/Suriyaa/Downloads/heroku/heroku/d3k90kvix375hb.cloudfront.net/assets/features/features-buttons-dfa7b1b83e6ae4cd4bf9b183dd57128f.png	(from https://www.heroku.com/features)
16:07:52	527/527	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Jun%202015%2020:04:21%20GMT	https://d3k90kvix375hb.cloudfront.net/assets/features/features-buttons-dfa7b1b83e6ae4cd4bf9b183dd57128f.png	C:/Users/Suriyaa/Downloads/heroku/heroku/d3k90kvix375hb.cloudfront.net/assets/features/features-buttons-dfa7b1b83e6ae4cd4bf9b183dd57128f.png	(from https://www.heroku.com/features)
16:07:52	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2014%20Jun%202015%2014:07:45%20GMT	http://d3k90kvix375hb.cloudfront.net/assets/features/features-git-deploy-d7cb69bfb3cadba34849fd181420cf99.png	C:/Users/Suriyaa/Downloads/heroku/heroku/d3k90kvix375hb.cloudfront.net/assets/features/features-git-deploy-d7cb69bfb3cadba34849fd181420cf99.png	(from https://www.heroku.com/features)
16:07:53	1680/1680	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Jun%202015%2020:04:21%20GMT	https://d3k90kvix375hb.cloudfront.net/assets/features/features-git-deploy-d7cb69bfb3cadba34849fd181420cf99.png	C:/Users/Suriyaa/Downloads/heroku/heroku/d3k90kvix375hb.cloudfront.net/assets/features/features-git-deploy-d7cb69bfb3cadba34849fd181420cf99.png	(from https://www.heroku.com/features)
16:07:53	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2014%20Jun%202015%2014:07:46%20GMT	http://d3k90kvix375hb.cloudfront.net/assets/features/features-heroku-fork-014fddddd259345114c1f53dec2a6198.png	C:/Users/Suriyaa/Downloads/heroku/heroku/d3k90kvix375hb.cloudfront.net/assets/features/features-heroku-fork-014fddddd259345114c1f53dec2a6198.png	(from https://www.heroku.com/features)
